,date,sales,state,customer
3441,2017-06-01,-468.75,OK,Customer 653
3440,2017-06-01,4687.5,OK,Customer 653
3442,2017-06-01,412.8,OK,Customer 653
3326,2017-06-01,0.0,NC,Customer 628
779,2017-06-02,-2221.95,MA,Customer 149
382,2017-06-02,409.5,other,Customer 74
381,2017-06-02,421.5,other,Customer 74
380,2017-06-02,418.5,other,Customer 74
379,2017-06-02,427.5,other,Customer 74
378,2017-06-02,418.5,other,Customer 74
377,2017-06-02,418.5,other,Customer 74
3096,2017-06-02,0.0,CA,Customer 587
2754,2017-06-02,4687.5,VA,Customer 529
2755,2017-06-02,293.55,VA,Customer 529
778,2017-06-02,1238.4,MA,Customer 149
777,2017-06-02,10125.0,MA,Customer 149
780,2017-06-02,4687.5,MA,Customer 149
153,2017-06-05,630.6,IL,Customer 39
152,2017-06-05,9150.0,IL,Customer 39
3941,2017-06-06,0.0,AZ,Customer 740
505,2017-06-06,300.0,NJ,Customer 95
2681,2017-06-06,0.0,IL,Customer 514
2283,2017-06-06,0.0,NJ,Customer 450
199,2017-06-06,300.0,NJ,Customer 43
2679,2017-06-06,0.0,IL,Customer 514
3940,2017-06-06,0.0,AZ,Customer 740
2680,2017-06-06,0.0,IL,Customer 514
3884,2017-06-07,99792.0,CT,Customer 726
3885,2017-06-07,99792.0,CT,Customer 726
3453,2017-06-08,-1200.0,MA,Customer 655
3454,2017-06-08,412.8,MA,Customer 655
109,2017-06-08,0.0,TN,Customer 24
1478,2017-06-08,0.0,PA,Customer 293
4022,2017-06-08,0.0,FL,Customer 745
3452,2017-06-08,4687.5,MA,Customer 655
4255,2017-06-08,0.0,other,
870,2017-06-09,412.8,FL,Customer 165
3299,2017-06-09,0.0,MA,Customer 622
871,2017-06-09,4687.5,FL,Customer 165
3300,2017-06-09,0.0,MA,Customer 622
2757,2017-06-12,4687.5,VA,Customer 529
48,2017-06-12,75.0,IN,Customer 12
49,2017-06-12,2437.5,IN,Customer 12
2756,2017-06-12,347.55,VA,Customer 529
2599,2017-06-13,-468.75,PA,Customer 501
513,2017-06-13,3600.0,IN,Customer 97
514,2017-06-13,8100.0,IN,Customer 97
2601,2017-06-13,385.5,PA,Customer 501
2600,2017-06-13,4687.5,PA,Customer 501
512,2017-06-13,225.0,IN,Customer 97
3345,2017-06-14,750.0,NC,Customer 633
3347,2017-06-14,450.0,NC,Customer 633
3911,2017-06-14,-150.0,CO,Customer 732
500,2017-06-14,0.0,FL,Customer 92
3346,2017-06-14,-300.0,NC,Customer 633
3912,2017-06-14,600.0,CO,Customer 732
499,2017-06-14,0.0,FL,Customer 92
3735,2017-06-15,-150.0,other,Customer 703
501,2017-06-16,0.0,MI,Customer 93
502,2017-06-16,0.0,MI,Customer 93
4128,2017-06-16,471.15,MS,Customer 762
4127,2017-06-16,3750.0,MS,Customer 762
3339,2017-06-16,0.0,SC,Customer 631
772,2017-06-16,0.0,ND,Customer 146
3338,2017-06-16,0.0,SC,Customer 631
3145,2017-06-16,404.54999999999995,NJ,Customer 598
3146,2017-06-16,3750.0,NJ,Customer 598
771,2017-06-16,0.0,ND,Customer 146
1047,2017-06-19,0.0,FL,Customer 192
4028,2017-06-20,3750.0,NH,Customer 748
4027,2017-06-20,437.25,NH,Customer 748
3469,2017-06-20,3750.0,MI,Customer 660
2647,2017-06-20,0.0,CO,Customer 507
4018,2017-06-20,-232.5,CA,Customer 744
2177,2017-06-20,435.75,MA,Customer 426
